epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,123.282,1.03416,0.82861,0.98957,0.56718,0.000301186,0.000301186,0.000301186
2,243.194,0.51997,0.86587,0.99851,0.36942,0.000305114,0.000305114,0.000305114
